Year,PublicEntries,AllEntries
2019,12,10923
2018,24,25902
2017,18,25846
2016,149,19774
2015,6281,17444
2014,14333,17269
2013,14171,14599
2012,13308,13685
2011,11174,11372
2010,10474,10599
2009,11313,11421
2008,8617,8704
2007,8865,8927
2006,8821,8872
2005,8282,8364
2004,6124,6165
2003,6206,6259
2002,5604,5636
2001,5900,5923
2000,5545,5573
1999,5277,5284
1998,4673,4680
1997,3803,3804
1996,3028,3029
1995,2453,2462
1994,2288,2291
1993,1400,1404
1992,1182,1185
1991,741,745
1990,456,461
1989,318,320
1988,160,162
1987,89,89
1986,58,58
1985,45,45
1984,36,36
1983,38,38
1982,18,18
1981,24,24
1980,19,19
1979,5,5
1978,2,2
1977,1,1